antecedents,consequents,support,confidence,lift
{np.str_('IceCream')},{np.str_('Ketchup')},0.263,0.74,1.16
{np.str_('Coke')},{np.str_('Ketchup')},0.239,0.38,0.92
{np.str_('IceCream')},{np.str_('Pizza')},0.073,0.84,1.01
{np.str_('Salad')},{np.str_('Pasta')},0.176,0.47,0.99
{np.str_('Soup')},{np.str_('IceCream')},0.191,0.49,1.08
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pizza')},0.127,0.11,1.37
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Fries')},0.142,0.75,1.07
{np.str_('Burger')},{np.str_('Ketchup')},0.286,0.16,0.82
{np.str_('Pizza')},{np.str_('Burger')},0.178,0.39,0.86
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Pizza')},0.229,0.18,1.11
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.059,0.19,0.93
{np.str_('Soup')},{np.str_('Fries')},0.121,0.58,0.85
{np.str_('Salad')},{np.str_('Soup')},0.088,0.62,0.89
{np.str_('Burger')},{np.str_('Ketchup')},0.175,0.43,0.93
{np.str_('Pasta')},{np.str_('Ketchup')},0.272,0.74,0.99
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Sandwich')},0.296,0.75,0.92
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Ketchup')},0.229,0.57,1.46
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Pasta')},0.247,0.79,1.25
{np.str_('Pasta')},{np.str_('Fries')},0.074,0.89,1.01
{np.str_('Pizza')},{np.str_('Soup')},0.037,0.69,1.32
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Burger')},0.263,0.28,1.13
"{np.str_('Pizza'), np.str_('Pasta')}",{np.str_('Salad')},0.221,0.14,0.82
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Sandwich')},0.175,0.28,1.33
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Soup')},0.281,0.23,0.83
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Fries')},0.255,0.31,0.87
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Sandwich')},0.101,0.88,1.0
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Soup')},0.192,0.76,1.3
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Fries')},0.296,0.42,1.03
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Burger')},0.045,0.66,0.8
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Coke')},0.125,0.64,0.84
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Ketchup')},0.173,0.75,1.28
{np.str_('Sandwich')},{np.str_('Pizza')},0.236,0.48,1.1
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Salad')},0.299,0.3,1.39
{np.str_('Pizza')},{np.str_('Burger')},0.104,0.79,1.22
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Pizza')},0.131,0.17,1.14
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Sandwich')},0.169,0.68,1.5
{np.str_('Sandwich')},{np.str_('Fries')},0.023,0.23,0.9
{np.str_('Pizza')},{np.str_('Burger')},0.207,0.8,1.06
{np.str_('IceCream')},{np.str_('Sandwich')},0.011,0.53,0.88
{np.str_('Fries')},{np.str_('Pizza')},0.021,0.88,0.8
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Salad')},0.219,0.17,0.87
{np.str_('Pasta')},{np.str_('Fries')},0.264,0.31,0.94
{np.str_('Coke')},{np.str_('Pizza')},0.204,0.12,1.06
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Pizza')},0.024,0.33,1.35
"{np.str_('Coke'), np.str_('Burger')}",{np.str_('Pasta')},0.038,0.42,1.49
{np.str_('Burger')},{np.str_('Ketchup')},0.227,0.51,1.37
{np.str_('Soup')},{np.str_('IceCream')},0.065,0.13,1.27
{np.str_('Coke')},{np.str_('Pizza')},0.081,0.48,1.44
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('IceCream')},0.111,0.26,1.37
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.081,0.21,1.39
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Soup')},0.128,0.31,1.49
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Salad')},0.291,0.86,1.34
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Sandwich')},0.253,0.8,1.01
{np.str_('Ketchup')},{np.str_('Pizza')},0.204,0.47,1.23
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Fries')},0.243,0.59,0.87
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Fries')},0.288,0.72,1.32
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pasta')},0.161,0.73,1.39
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Salad')},0.119,0.1,1.11
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Salad')},0.021,0.58,1.14
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Pizza')},0.217,0.66,1.23
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Burger')},0.29,0.78,1.44
{np.str_('Pizza')},{np.str_('Burger')},0.014,0.82,1.21
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Soup')},0.194,0.45,1.14
{np.str_('Pizza')},{np.str_('IceCream')},0.238,0.49,1.03
{np.str_('Fries')},{np.str_('Ketchup')},0.104,0.15,0.82
"{np.str_('Pizza'), np.str_('IceCream')}",{np.str_('Burger')},0.049,0.8,1.16
{np.str_('Fries')},{np.str_('Salad')},0.165,0.74,1.22
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('IceCream')},0.231,0.18,1.34
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.033,0.84,1.29
{np.str_('IceCream')},{np.str_('Pizza')},0.073,0.68,1.25
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Coke')},0.267,0.42,1.24
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Ketchup')},0.121,0.86,1.21
{np.str_('Pasta')},{np.str_('IceCream')},0.248,0.8,1.4
"{np.str_('Coke'), np.str_('Salad')}",{np.str_('Fries')},0.135,0.88,0.9
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Sandwich')},0.04,0.2,0.86
{np.str_('Salad')},{np.str_('IceCream')},0.104,0.37,1.26
{np.str_('Sandwich')},{np.str_('Pasta')},0.273,0.28,1.18
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Pizza')},0.108,0.61,0.84
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Ketchup')},0.125,0.4,1.0
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Pizza')},0.177,0.5,1.14
"{np.str_('Pizza'), np.str_('Fries')}",{np.str_('Ketchup')},0.283,0.63,1.41
{np.str_('Soup')},{np.str_('Pizza')},0.195,0.34,1.18
{np.str_('Coke')},{np.str_('Pizza')},0.265,0.27,1.48
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Salad')},0.294,0.45,0.91
{np.str_('Sandwich')},{np.str_('IceCream')},0.296,0.14,1.42
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Coke')},0.048,0.51,0.91
{np.str_('Soup')},{np.str_('Salad')},0.014,0.75,1.01
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Ketchup')},0.241,0.61,1.35
{np.str_('Fries')},{np.str_('Pizza')},0.207,0.54,1.08
{np.str_('Burger')},{np.str_('Ketchup')},0.224,0.27,1.08
{np.str_('Burger')},{np.str_('Pizza')},0.049,0.16,1.49
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Ketchup')},0.064,0.62,1.06
{np.str_('Pasta')},{np.str_('Sandwich')},0.297,0.73,0.85
{np.str_('Pasta')},{np.str_('Ketchup')},0.089,0.83,1.38
{np.str_('Pizza')},{np.str_('Ketchup')},0.178,0.63,1.3
{np.str_('Burger')},{np.str_('Sandwich')},0.084,0.18,1.22
{np.str_('Fries')},{np.str_('Ketchup')},0.188,0.52,1.28
{np.str_('Pasta')},{np.str_('Coke')},0.271,0.33,1.43
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Ketchup')},0.176,0.18,0.91
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Coke')},0.285,0.67,1.42
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Pizza')},0.147,0.41,1.37
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Soup')},0.039,0.69,1.29
{np.str_('IceCream')},{np.str_('Soup')},0.283,0.26,1.02
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Fries')},0.018,0.15,1.18
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Fries')},0.089,0.23,0.84
{np.str_('Salad')},{np.str_('IceCream')},0.028,0.85,1.39
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Sandwich')},0.264,0.45,1.17
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.185,0.55,1.07
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Coke')},0.227,0.42,0.95
{np.str_('Soup')},{np.str_('Pizza')},0.076,0.89,1.19
{np.str_('Pasta')},{np.str_('Pizza')},0.223,0.19,1.33
{np.str_('Ketchup')},{np.str_('Sandwich')},0.102,0.61,1.11
{np.str_('Coke')},{np.str_('Soup')},0.188,0.24,0.81
{np.str_('Coke')},{np.str_('IceCream')},0.073,0.36,1.24
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Salad')},0.227,0.63,1.21
{np.str_('Sandwich')},{np.str_('Soup')},0.05,0.24,0.84
{np.str_('Sandwich')},{np.str_('Burger')},0.054,0.6,1.09
{np.str_('Fries')},{np.str_('Pizza')},0.249,0.57,1.23
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Sandwich')},0.231,0.49,1.28
{np.str_('Fries')},{np.str_('Coke')},0.212,0.44,1.28
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Ketchup')},0.227,0.32,1.07
"{np.str_('Soup'), np.str_('Sandwich')}",{np.str_('Pizza')},0.079,0.36,1.14
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.062,0.89,1.06
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Salad')},0.102,0.22,1.36
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Ketchup')},0.21,0.87,1.12
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Soup')},0.091,0.85,1.42
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Salad')},0.242,0.6,1.13
{np.str_('Burger')},{np.str_('IceCream')},0.236,0.37,0.93
{np.str_('Ketchup')},{np.str_('Salad')},0.191,0.63,1.18
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Fries')},0.088,0.16,1.33
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.133,0.44,1.41
{np.str_('Pizza')},{np.str_('Pasta')},0.183,0.56,1.37
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Pasta')},0.081,0.77,1.06
{np.str_('Pizza')},{np.str_('Pasta')},0.188,0.42,0.81
{np.str_('Sandwich')},{np.str_('Salad')},0.116,0.6,0.85
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Burger')},0.251,0.66,1.2
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Pizza')},0.045,0.68,1.2
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('IceCream')},0.134,0.68,1.24
{np.str_('Pizza')},{np.str_('Sandwich')},0.057,0.61,0.84
{np.str_('Ketchup')},{np.str_('Sandwich')},0.113,0.82,0.88
"{np.str_('Fries'), np.str_('Sandwich')}",{np.str_('Coke')},0.211,0.79,1.06
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Pizza')},0.079,0.8,1.37
{np.str_('Salad')},{np.str_('Ketchup')},0.103,0.71,1.47
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Ketchup')},0.169,0.1,0.83
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Burger')},0.104,0.31,1.33
{np.str_('Salad')},{np.str_('Soup')},0.287,0.77,1.1
{np.str_('Coke')},{np.str_('IceCream')},0.3,0.56,0.83
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Soup')},0.292,0.39,1.22
{np.str_('Coke')},{np.str_('Fries')},0.286,0.6,1.37
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Pasta')},0.214,0.28,0.8
{np.str_('Ketchup')},{np.str_('Pizza')},0.273,0.9,0.91
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Pasta')},0.119,0.55,1.38
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Fries')},0.036,0.45,1.21
{np.str_('Pasta')},{np.str_('Pizza')},0.029,0.54,0.87
{np.str_('Burger')},{np.str_('Pizza')},0.129,0.62,1.5
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('IceCream')},0.037,0.19,1.31
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('IceCream')},0.034,0.18,1.13
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Soup')},0.168,0.18,1.02
{np.str_('Pasta')},{np.str_('Pizza')},0.22,0.73,1.0
"{np.str_('Burger'), np.str_('Pasta')}",{np.str_('Sandwich')},0.023,0.19,0.93
{np.str_('Pasta')},{np.str_('Soup')},0.116,0.42,1.38
{np.str_('Pasta')},{np.str_('Sandwich')},0.179,0.18,1.01
{np.str_('IceCream')},{np.str_('Coke')},0.206,0.24,0.93
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Fries')},0.231,0.66,0.97
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Coke')},0.1,0.78,1.22
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Fries')},0.223,0.85,1.17
"{np.str_('IceCream'), np.str_('Salad')}",{np.str_('Pizza')},0.157,0.35,1.49
{np.str_('Burger')},{np.str_('Soup')},0.227,0.36,1.27
{np.str_('Soup')},{np.str_('Fries')},0.105,0.24,1.22
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Ketchup')},0.061,0.38,1.06
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Pizza')},0.078,0.53,0.88
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Soup')},0.207,0.81,0.96
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Coke')},0.143,0.25,1.25
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Soup')},0.208,0.37,1.2
{np.str_('Pasta')},{np.str_('Fries')},0.251,0.47,1.28
{np.str_('Salad')},{np.str_('Sandwich')},0.113,0.77,0.83
{np.str_('Burger')},{np.str_('Fries')},0.135,0.5,1.43
{np.str_('Soup')},{np.str_('Pasta')},0.181,0.28,1.14
{np.str_('Burger')},{np.str_('IceCream')},0.192,0.57,1.18
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Sandwich')},0.283,0.37,1.17
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Soup')},0.06,0.15,1.03
"{np.str_('Ketchup'), np.str_('Salad')}",{np.str_('Fries')},0.129,0.32,1.23
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Sandwich')},0.063,0.77,0.89
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Coke')},0.288,0.8,1.33
{np.str_('Soup')},{np.str_('Fries')},0.069,0.65,1.19
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Pizza')},0.096,0.72,1.08
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Fries')},0.242,0.62,0.8
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Salad')},0.029,0.69,1.03
"{np.str_('Pizza'), np.str_('Ketchup')}",{np.str_('Sandwich')},0.3,0.41,1.07
{np.str_('Burger')},{np.str_('Coke')},0.189,0.17,1.35
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Salad')},0.263,0.13,1.08
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Soup')},0.019,0.62,1.19
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Sandwich')},0.057,0.27,1.16
{np.str_('Sandwich')},{np.str_('Pizza')},0.299,0.85,1.27
{np.str_('Ketchup')},{np.str_('Soup')},0.127,0.41,1.01
{np.str_('Sandwich')},{np.str_('Fries')},0.026,0.84,1.26
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('IceCream')},0.042,0.66,1.31
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Fries')},0.113,0.58,1.19
{np.str_('Pasta')},{np.str_('Pizza')},0.188,0.33,1.26
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Salad')},0.069,0.71,1.01
{np.str_('Sandwich')},{np.str_('Pizza')},0.132,0.84,1.42
{np.str_('Ketchup')},{np.str_('Pizza')},0.196,0.56,0.88
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('Pizza')},0.133,0.55,1.42
{np.str_('Soup')},{np.str_('Coke')},0.02,0.49,1.01
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pasta')},0.172,0.12,1.46
{np.str_('Soup')},{np.str_('Salad')},0.197,0.55,1.25
"{np.str_('Pasta'), np.str_('IceCream')}",{np.str_('Burger')},0.172,0.57,1.48
{np.str_('Salad')},{np.str_('Fries')},0.084,0.16,1.32
{np.str_('Ketchup')},{np.str_('Soup')},0.267,0.49,1.29
"{np.str_('Burger'), np.str_('Coke')}",{np.str_('Soup')},0.295,0.33,1.36
{np.str_('Coke')},{np.str_('Sandwich')},0.245,0.37,1.07
{np.str_('Sandwich')},{np.str_('Fries')},0.172,0.3,1.48
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.04,0.21,1.4
{np.str_('Burger')},{np.str_('Soup')},0.109,0.35,1.47
{np.str_('Pasta')},{np.str_('Ketchup')},0.207,0.85,1.25
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Pasta')},0.078,0.25,1.2
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Fries')},0.294,0.73,1.14
{np.str_('Pizza')},{np.str_('Fries')},0.233,0.74,1.42
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Pasta')},0.014,0.38,1.0
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Ketchup')},0.025,0.77,1.46
{np.str_('Burger')},{np.str_('Pizza')},0.244,0.82,0.81
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('IceCream')},0.133,0.78,1.02
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Coke')},0.071,0.15,1.18
{np.str_('Fries')},{np.str_('Burger')},0.135,0.19,0.87
"{np.str_('Fries'), np.str_('IceCream')}",{np.str_('Pizza')},0.057,0.44,0.89
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Burger')},0.038,0.33,1.41
{np.str_('Soup')},{np.str_('Pasta')},0.252,0.3,1.03
{np.str_('Pizza')},{np.str_('Salad')},0.068,0.83,0.98
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Sandwich')},0.216,0.22,1.12
{np.str_('Pizza')},{np.str_('Soup')},0.28,0.54,1.29
{np.str_('Salad')},{np.str_('IceCream')},0.253,0.51,1.06
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Sandwich')},0.178,0.81,1.13
{np.str_('IceCream')},{np.str_('Salad')},0.024,0.3,0.9
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Pasta')},0.114,0.82,0.85
"{np.str_('Pasta'), np.str_('Salad')}",{np.str_('Ketchup')},0.054,0.32,0.87
{np.str_('Pasta')},{np.str_('Pizza')},0.035,0.19,1.3
"{np.str_('Coke'), np.str_('Pasta')}",{np.str_('IceCream')},0.115,0.73,1.48
"{np.str_('Fries'), np.str_('Ketchup')}",{np.str_('Salad')},0.271,0.37,1.32
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('IceCream')},0.039,0.42,0.87
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('Ketchup')},0.182,0.25,1.05
{np.str_('Pasta')},{np.str_('Pizza')},0.199,0.49,1.35
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Ketchup')},0.274,0.3,1.34
"{np.str_('Burger'), np.str_('Soup')}",{np.str_('Salad')},0.112,0.27,1.21
{np.str_('Ketchup')},{np.str_('Pizza')},0.152,0.16,0.93
{np.str_('Pasta')},{np.str_('Ketchup')},0.14,0.45,1.19
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Pasta')},0.207,0.31,1.03
{np.str_('Coke')},{np.str_('IceCream')},0.296,0.72,1.48
{np.str_('Pasta')},{np.str_('Sandwich')},0.242,0.27,1.18
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.105,0.55,0.93
"{np.str_('Burger'), np.str_('IceCream')}",{np.str_('Salad')},0.092,0.12,1.18
"{np.str_('Soup'), np.str_('Salad')}",{np.str_('IceCream')},0.21,0.82,1.29
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Pizza')},0.082,0.75,0.88
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Salad')},0.031,0.47,0.92
{np.str_('Burger')},{np.str_('Soup')},0.043,0.63,1.0
{np.str_('Pizza')},{np.str_('Sandwich')},0.101,0.15,1.28
"{np.str_('Ketchup'), np.str_('Pasta')}",{np.str_('Pizza')},0.161,0.57,0.84
{np.str_('Coke')},{np.str_('Pasta')},0.229,0.77,1.42
{np.str_('Salad')},{np.str_('Fries')},0.154,0.48,1.02
"{np.str_('Fries'), np.str_('Burger')}",{np.str_('Ketchup')},0.293,0.27,0.9
{np.str_('Soup')},{np.str_('Sandwich')},0.136,0.47,1.48
{np.str_('Salad')},{np.str_('Pizza')},0.036,0.62,1.23
{np.str_('IceCream')},{np.str_('Pizza')},0.279,0.12,0.84
{np.str_('Ketchup')},{np.str_('Pizza')},0.192,0.79,1.19
{np.str_('Ketchup')},{np.str_('Burger')},0.011,0.18,0.87
{np.str_('Soup')},{np.str_('Pasta')},0.266,0.47,0.95
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Pasta')},0.159,0.44,1.42
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Soup')},0.034,0.45,1.38
{np.str_('Fries')},{np.str_('Coke')},0.142,0.12,1.07
{np.str_('Pasta')},{np.str_('Soup')},0.077,0.86,0.82
{np.str_('Soup')},{np.str_('Pizza')},0.022,0.29,1.06
{np.str_('Coke')},{np.str_('Pizza')},0.198,0.17,0.93
{np.str_('Sandwich')},{np.str_('Fries')},0.137,0.72,1.3
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Fries')},0.117,0.77,1.4
{np.str_('Ketchup')},{np.str_('Pasta')},0.138,0.81,1.37
"{np.str_('Pasta'), np.str_('Soup')}",{np.str_('Coke')},0.295,0.75,1.3
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('IceCream')},0.24,0.17,0.84
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Pizza')},0.286,0.73,1.26
"{np.str_('Fries'), np.str_('Coke')}",{np.str_('Soup')},0.264,0.67,1.33
{np.str_('Soup')},{np.str_('Burger')},0.202,0.54,0.94
"{np.str_('Coke'), np.str_('Soup')}",{np.str_('Sandwich')},0.235,0.75,1.2
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Soup')},0.08,0.62,1.01
"{np.str_('Pasta'), np.str_('Sandwich')}",{np.str_('Soup')},0.188,0.74,1.11
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Pizza')},0.25,0.61,1.19
{np.str_('Pasta')},{np.str_('IceCream')},0.036,0.9,1.43
"{np.str_('Ketchup'), np.str_('Soup')}",{np.str_('Pizza')},0.2,0.37,1.03
{np.str_('Burger')},{np.str_('Fries')},0.059,0.48,1.48
{np.str_('Pizza')},{np.str_('Sandwich')},0.116,0.15,1.4
"{np.str_('Burger'), np.str_('Salad')}",{np.str_('Fries')},0.205,0.14,1.18
"{np.str_('Coke'), np.str_('Sandwich')}",{np.str_('Ketchup')},0.072,0.16,1.19
"{np.str_('Fries'), np.str_('Salad')}",{np.str_('Burger')},0.071,0.36,1.41
"{np.str_('Soup'), np.str_('IceCream')}",{np.str_('Fries')},0.285,0.61,1.33
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Soup')},0.273,0.87,0.82
{np.str_('Sandwich')},{np.str_('Fries')},0.074,0.22,1.44
"{np.str_('Burger'), np.str_('Sandwich')}",{np.str_('Salad')},0.134,0.51,1.21
"{np.str_('Fries'), np.str_('Pasta')}",{np.str_('Pizza')},0.077,0.62,1.03
{np.str_('Soup')},{np.str_('Coke')},0.184,0.55,1.26
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('Pasta')},0.17,0.19,1.08
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('Fries')},0.111,0.64,0.98
{np.str_('IceCream')},{np.str_('Salad')},0.052,0.23,0.92
{np.str_('Coke')},{np.str_('Sandwich')},0.265,0.14,1.1
{np.str_('Soup')},{np.str_('Pizza')},0.201,0.27,0.88
{np.str_('Fries')},{np.str_('Burger')},0.233,0.78,1.35
"{np.str_('Ketchup'), np.str_('Coke')}",{np.str_('Pizza')},0.293,0.15,1.43
{np.str_('Coke')},{np.str_('Salad')},0.045,0.8,1.35
{np.str_('Burger')},{np.str_('Fries')},0.164,0.71,1.33
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Sandwich')},0.073,0.53,1.06
{np.str_('IceCream')},{np.str_('Burger')},0.296,0.32,1.14
"{np.str_('IceCream'), np.str_('Sandwich')}",{np.str_('Fries')},0.264,0.19,1.35
"{np.str_('Sandwich'), np.str_('Salad')}",{np.str_('Burger')},0.099,0.55,1.45
{np.str_('Burger')},{np.str_('Coke')},0.244,0.6,0.99
"{np.str_('Ketchup'), np.str_('Burger')}",{np.str_('Fries')},0.176,0.83,1.15
"{np.str_('Ketchup'), np.str_('IceCream')}",{np.str_('Salad')},0.237,0.53,1.24
"{np.str_('Pizza'), np.str_('Soup')}",{np.str_('IceCream')},0.187,0.32,1.29
{np.str_('Coke')},{np.str_('Salad')},0.057,0.64,1.18
"{np.str_('Pizza'), np.str_('Burger')}",{np.str_('Fries')},0.108,0.62,1.45
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Burger')},0.263,0.34,0.91
"{np.str_('Pizza'), np.str_('Coke')}",{np.str_('Ketchup')},0.128,0.84,1.05
{np.str_('IceCream')},{np.str_('Soup')},0.224,0.31,0.81
{np.str_('Sandwich')},{np.str_('IceCream')},0.049,0.41,1.46
{np.str_('Fries')},{np.str_('Ketchup')},0.205,0.27,1.39
{np.str_('Pizza')},{np.str_('Burger')},0.236,0.55,0.96
{np.str_('Pizza')},{np.str_('Coke')},0.028,0.9,1.07
"{np.str_('IceCream'), np.str_('Soup')}",{np.str_('Burger')},0.124,0.21,1.16
"{np.str_('Pizza'), np.str_('Sandwich')}",{np.str_('IceCream')},0.088,0.43,1.3
"{np.str_('Ketchup'), np.str_('Sandwich')}",{np.str_('Salad')},0.241,0.73,1.06
{np.str_('Pasta')},{np.str_('Salad')},0.197,0.27,1.09
"{np.str_('Coke'), np.str_('IceCream')}",{np.str_('Pizza')},0.022,0.64,1.09
{np.str_('Salad')},{np.str_('Burger')},0.068,0.76,1.09
"{np.str_('Fries'), np.str_('Pizza')}",{np.str_('Soup')},0.153,0.17,1.41
"{np.str_('Fries'), np.str_('Soup')}",{np.str_('Coke')},0.065,0.36,1.08
